Barcode,Product Name,Ingredients,Packaging,Brand,is_plastic,is_glass,is_biodegradable,Eco_Score,Eco_Label,Category
8901058001846.0,Kitkat,"sugar, milk solids (16.2%), fractionated vegetable fat, hydrogenated vegetable fats, refined wheat flour (maida), cocoa solids (4.5%), emulsifier (soya lecithin), yeast, raising agent (500)). artificial (vanilla) flavouring substance, iodised salt, flour treatment agent (516) and nature-identical flavouring substance.",unknown,Unknown,0,0,0,0,Low,snacks
8901063155459.0,Tiger Krunch ChocoChips,"refined wheat flour (maida), sugar, refined palm oil, chic chips (8%) (sugar, edible hydrogenated vegetable fat, cocoa solids, dextrose emulsifier [322(i)] and natural flavouring substance, invert sugar syrup cocoa solids (1.6%), colours (150c, 124, 133), raising agents [500)& iodised salt, emulsifiers [322(i), 471 & 472e], artificial (chocolate & flavouring substances, ferrous salt, dough conditioner (223) and vitamin*",unknown,Unknown,0,0,0,0,Low,snacks
8901725118914.0,Tedhe Medhe,"rice grits, refined palmolein, seasoning refined palmolein, spices and condiments, onion powder, 1odized salt maltodextrin, black salt, flavour enhancer (ins 508), nature identical flavouring substances, tomato powder, sugar, hydrolyzed vegetable protein, natural flavours and natural flavouring substances and garlic powder (0.1%)), degermed corn grits and bengal gram grits (3.1%).",unknown,Unknown,0,0,0,0,Low,snacks
8886467122392.0,PRINGLES ( ORIGINAL ),"dried potato (48%), edible vegetable oil (palm oil), corn flour, starch, emulsifier (ins 471), maltodextrin, salt, acidity regulator (ins 330)",cardboard tube,Unknown,0,0,0,0,Low,snacks
8901063012530.0,Milk Bikis,"refined wheat flour (waidati, sugar refined palm oil, milk products (470sweetened condensed partl milk&milk solidst, invert sugar syrup, raising agents [503(ii) &-500(ii)), iodised salt, emulsifiers [32200) & 4711. e identical & artificial (milk & vanilla) flavouring substances, calcium salt, vitamins and potassium iodate bers in brackets as per international numbering system) contains wheat, milk and soya.",unknown,Unknown,0,0,0,0,Low,snacks
8901063162327.0,Br Marie gold 10,wheat,unknown,Unknown,0,0,0,0,Low,snacks
8904004403725.0,Moong Dal,"split pulse moong (moong dal) (77%), refined cotton seed oil & edible common salt.",plastic,Unknown,1,0,0,-1,Low,snacks
8901491435109.0,Potato chips (Spicy Treat flavour)20rs,"potato, edible vegetable oil (palmolein), *seasoning (sugar, lodised salt, ~spices and condiments, acidity regulators (330, 334, 296), maltodextrin, edible starch, salt substitute (potassium chloride), milk solids, anticaking agents (551, 470), flavour enhancers (631, 627), color (150d), flavour (natural and nature identical flavouring substances), modified starch (1450)). *as flavouring agent. ~contains onion allergen advice: contains milk",plastic,Unknown,1,0,0,-1,Low,snacks
90162602,Redbull,"carbonated water, sugar, glucose, citric acid, taurine, natural flavors, artificial flavors, sodium bicarbonate, magnesium carbonate, artificial colors, caffeine, niacinamide, pyridoxine hci, calcium pantothenate, vitamin b12.","can,aluminium-can",Unknown,0,0,0,0,Low,beverages
8902080000227.0,Sting,"carbonated water, sugar, acidity regulators (330, 331), sequesterants (452(1), 385),taurine, caffeine (0.03%), preservatives (211, 202), sweeteners (955, 950), inositol, vitamins premix. contains permitted synthetic food colour (129) and added flavour (natural and nature identical flavouring substances)",unknown,Unknown,0,0,0,-1,Low,beverages
5999884034469.0,Energizant HELL,"apƒ?,  zahƒ?r, acid alimentar (acid citric); dioxid de carbon (min 0,3% taurina (0,38%); substan»?ƒ? de reglare a aciditƒ?»?ii (citrat de valoare nutritionalƒ? generala sodiu); cafeina (0,03%); aromƒ?: coloran»?i (caramel energie: . 134153/289 amoniu); vitamine (niacina (83), acid bantotenic (b5), grƒ?sime:... - piridoxinƒ? (b6), riboflavins (r2 m continut ridicat de carcin balamina (812)]. din care acizi gra≈?i sƒ?turati",aluminiu,Unknown,0,0,0,0,Low,beverages
54491496,Diet coke,"csd water, caramel color, aspartame, phosphoric acid, potassium benzoate (to protect taste), natural flavors, citric acid, caffeine, contains phenylalaline 
water gazeifi√©e, caramel colour e150d, sweeteners : aspartame, acesulfame k, flavourings, natural caffeine, phosphoric acid, citric acid","plastic, bottle, pet-bottle, en:pet-cap",Unknown,1,0,0,-1,Low,beverages
8850389100684.0,Unknown,"water, lychee juice from concentrate 25%, coconut 25%, fructose, sucrose, acidifiers (citric acid, calcium lactate), lychee flavor, preservative e211, gelling agent: gellan gum, color: e129 - 0.0001% (this dye may have adverse effects on activity and attention in children),",bouteille plastique,Unknown,0,0,0,0,Low,beverages
1234567890128.0,Chocolat en poudre,ingridients:poudre de cacao - sucre - lait entier (faible teneur en mati√®re grasse) - emulsifiants,fr:bo√Æte de 400 g,Unknown,0,0,0,0,Low,beverages
8901764012273.0,Coca Cola Coke Brand 750ml,unknown,unknown,Unknown,0,0,0,0,Low,beverages
8901764092305.0,Maaza Original 1.2ltr,"water, mango pulp (19.5%), sugar, acidity regulator (330), antioxidant(300) and preservative (202) contains permitted synthetic food colour (110) and added mango flavours (natural, nature-identical and artificial flavouring substances).",unknown,Unknown,0,0,0,0,Low,beverages
8901262200196.0,Amul Masti Spiced Buttermilk,"milk solids, common salt, spices & condiments (1%), permitted stabilizer (e 460(i)).",unknown,Unknown,0,0,0,0,Low,beverages
8901764032271.0,Sprite 750ml,"carbonated water, sugar, acidity regulators (330, 331(i)), preservative(211), sweetener (960), flavours (natural flavoring substances)",plastic,Unknown,1,0,0,-1,Low,beverages
3948764012273.0,Coca cola Soft Drink 750ml,"carbonated water ,sugar, acidity regulator (338), caffeine (8.7 mg/100g), colour (150d), flavours (natural flavoring substances)",unknown,Unknown,0,0,0,0,Low,beverages
8901764032912.0,Sprite,"carbonated water, sugar, acidity regulators (330, 331(iii)), preservative (211), flavours (natural flavoring substances).","india,transparent",Unknown,0,0,0,0,Low,beverages
8901453000024.0,Rooh Afza 750ml pet,"sugar syrup 87.8%, {sugar, water, acidity regulator (ins 330)} distillate of (nilofer, dhaniya, khas, gulab, kasni, chhareela, gaozaban, pudina, sandal safaid, gajar, munakka) 4.5% pineapple juice 2.5%, orange juice 1.0%, preservative (ins 211), distillate of kewada and gulab used as natural flavoring agent",unknown,Unknown,0,0,0,0,Low,beverages
8901764092206.0,Maaza Original 600ml,"water, mango pulp (19.5%), sugar, acidity regulator (330), antioxidant(300) and preservative (202). contains permitted synthetic food colour (110) and added mango flavours natural, nature-identical and artificial flavouring substances).",unknown,Unknown,0,0,0,0,Low,beverages
8901764042270.0,Thumbs Up 750ml,"carbonated water, sugar, acidity regulator (338), caffeine (8.3 mg/100 g), colour (1506) flavours (natural, nature-identical & artificial (cola) flavouring substances). &quot;contains caffeine&quot;",unknown,Unknown,0,0,0,0,Low,beverages
8901764082405.0,Kinley Mineral Water 1ltr,"treated water, salts of sodium and magnesium",plastic bottles,Unknown,1,0,0,-1,Low,beverages
8906017290040.0,Bisleri 1ltr MADE IN INDIA,"treated water, minerals (calcium chloride, magnesium sulphate, potassium bicarbonate).",unknown,Unknown,0,0,0,0,Low,beverages
8901764042911.0,Thums up,"carbonated water, sugar, acidity regulator (338), caffeine (8.1 mg/100 g), sweetener (960) colour (150 d), flavours (natural, nature-identical & artificial (cola) flavoring substances).","plastic,bottle",Unknown,1,0,0,-1,Low,beverages
8901764012914.0,Coca-Cola,"carbonated water, sugar, acidity regulator (338), caffeine (8.7 mg/100 g), colour (150d), flavours (natural flavoring substances).","plastic,pet - polyethylene terephthalate,bottle,transparent pet",Unknown,1,0,0,-1,Low,beverages
8901764032707.0,Sprite,"carbonated water, sugar, acidity regulators (330,331(ii)), presservative (211) & sweetener (960).",plastic bottle,Unknown,1,0,0,-1,Low,beverages
8901764042300.0,Thums Up  (Coca-Cola),"carbonated water, sugar, acidity regulator (330 caffeine (8.1 mg/100 g), sweetener (960), colour (150 d), flavours natural, nature-identical & artificial (cola) flavouring substances).",unknown,Unknown,0,0,0,0,Low,beverages
8904272600291.0,Storia 100% Tender Coconut Water 1L,tender coconut water 100%,unknown,Unknown,0,0,0,0,Low,beverages
8901764032905.0,Sprite,"carbonated water, sugar, acidity regulators (330, 331(iii)), preservative (211), sweetener (960), flavours (natural flavouring substances).",unknown,Unknown,0,0,0,0,Low,beverages
3948764032912.0,Sprite,sprite,unknown,Unknown,0,0,0,0,Low,beverages
8902080364589.0,Mountain Dew,"carbonated water, sugar, acidity regulators (330, 331), flavour (natural flavouring substances), preservative (211), caffeine (13 mg/100 g), stabilizer (445), colour (102)",unknown,Unknown,0,0,0,0,Low,beverages
8901764061257.0,Diet Coke Can 250ml,"carbonated water, acidity regulator (338), sweeteners (951,950), preservative (211), caffeine. contains permitted natural colour (150d) and added flavours (natural flavouring substanc√©s).",can,Unknown,0,0,0,0,Low,beverages
3948764032271.0,Sprite,"carbonated water, sugar, acidity regulators (330, 331(1), preservative (211), sweetener (960), flavours (natural flavoring substances).",unknown,Unknown,0,0,0,0,Low,beverages
3948764012914.0,Cocacola zero,unknown,unknown,Unknown,0,0,0,0,Low,beverages
8901764362804.0,Pulpy Orange,"water,sugar,orange juice (10.5%)(reconstituted from orange juice concentrate & orange pulp cells), acidity regulators (330,331(iii)),antioxidant(300),colors(110,102),orange flavours(natural,natural-identical and artificial flavouring substances).",unknown,Unknown,0,0,0,0,Low,beverages
8901030824227.0,Boost,"cereal extract (50%) (barley, wheat, millet), malted barley (21%). sugar, wheat flour (atta), milk solids (6%), minerals, natural colour (ins 150c), wheat gluten, acidity regulators [ins 501(ii), ins 500 (ii)), edible lodised salt, cocoa powder, vitamins, nature identical flavouring substances, soy protein isolate. allergen information: contains wheat, barley milk and soy",plastic,Unknown,1,0,0,-1,Low,beverages
8901262200189.0,Lassi,"milk solids, water, sugar, stabilizer (440), nature identical and artificial flavouring substances (rose), active culture. allergen information: contains milk.",unknown,Unknown,0,0,0,0,Low,beverages
8902080104581.0,Pepsi,contains caffeine,unknown,Unknown,0,0,0,0,Low,beverages
8908013982646.0,Lahori Zeera,"carbonated water, sugar, lemon juice concentrate (0.3%) equivalent to 2.5% lemon juice reconstituted, acidity regulator ons 300 stabiliser (ins 414), contains permitted natural colour (ins-150d) and flavours (natural & nature-identical flavouring substances), black salt, iodised salt cumin seed, black pepper & dry ginger powder, class ii preservative (ins-211). fins-international numbering system).",unknown,Unknown,0,0,0,0,Low,beverages
8904258701707.0,Coconut Water,"coconut water(100%), bio preservative (ins 234) contains naturally occuring sugars",unknown,Unknown,0,0,0,0,Low,beverages
8901764052910.0,Limca,"carbonated water, sugar acidity regulators (330, 33w stabilizers (414,471), preservative (211) flavours (natural, nature-identical & artificial (lemon) flavouring substances).",unknown,Unknown,0,0,0,0,Low,beverages
8902080504060.0,Packaged Drinking Water,"treated water, minerals (salts of magnesium and calcium",unknown,Unknown,0,0,0,0,Low,beverages
3948764061257.0,Diet coke,unknown,unknown,Unknown,0,0,0,0,Low,beverages
8901764052279.0,Limca lime lemon drink 750ml,"carbonated water, sugar, acidity regulators (330, 331()), stabilizers (414,471), preservative (211), flavours (natural, nature-identical & artificial (lemon) flavoring substances).",unknown,Unknown,0,0,0,0,Low,beverages
8901764012303.0,Coca-Cola,"carbonated water, sugar, acidity regulator (338), caffeine (8.7 mg/100 g), colour (150d), flavours (natural flavouring substances)",unknown,Unknown,0,0,0,0,Low,beverages
8906017290033.0,Bisleri,"treated water, minerals (magnesium sulphate, potassium bicarbonate)","fr:bouteille plastique,plastic bottle",Unknown,1,0,0,-1,Low,beverages
8902080404094.0,Mango slice 600ml,"credients: water, sugar, *concentrated mango pulp & niphonso mango pulp (14% mango pulp), acidity regulator (330), stabilizers (466, 440), flavour(natural and nature identical flavouring substances), preservative/202), colour(110) 14% mango pulp in reconstituted beverage",unknown,Unknown,0,0,0,0,Low,beverages
8902579103057.0,Frooti,"water, mango pulp (19.5%), sugar, acidity regulators [ins330, ins 331(iii)], preservatives (ins211, insi ins202), antioxidant (ins300), nature-identical flavouring substances (mango) and synthetic food colour (ins110)",unknown,Unknown,0,0,0,-1,Low,beverages
8902080364053.0,Mountain Dew 750 ml,unknown,unknown,Unknown,0,0,0,0,Low,beverages
8901764022913.0,Fanta,fanta,unknown,Unknown,0,0,0,0,Low,beverages
8902579002039.0,appy fizz,unknown,unknown,Unknown,0,0,0,0,Low,beverages
8902579203016.0,Ssaf Ssat,"treated water and minerals (0.025%) (magnesium chloride, calcium chloride and sodium hydrogen carbonate).",plastic,Unknown,1,0,0,-1,Low,beverages
8904004400014.0,Bhujia Sev,"tepary beans flour, refined cotton seed oil, bengal gram flour, edible common salt, red chilli powder, clove powder, black pepper, dried ginger powder, cardamom, bay leaf, nutmeg & cinnamon.",unknown,Unknown,0,0,0,0,Low,spices
8906030992099.0,Chach Masala,"common salt, black salt, acidity regulator (e330), coriander, cumin, anti-caking agent (e551), asafoetida, chilli powder, turmeric, dry ginger, black pepper",unknown,Unknown,0,0,0,0,Low,spices
8901786260508.0,Black pepper,black pepper,"plastic, cardboard box",Unknown,1,0,0,-1,Low,spices
