barcode,name,brand,ingredients,packaging,eco_score
9990003943,cereal,cocacola,sugar cocoa milk powder,cardboard,5
9990006023,pasta,kelloggs,carbonated water sugar caffeine,glass,7
9990002695,pasta,ferrero,milk sugar cocoa butter,metal,3
9990002585,instant noodles,kelloggs,wheat flour salt oil,cardboard,7
9990003042,cereal,danone,pasta tomato sauce olive oil,carton,7
9990008024,instant noodles,cocacola,wheat flour salt oil,biodegradable,1
9990007838,pasta,pepsico,carbonated water sugar caffeine,paper,9
9990001607,cereal,nestlé,pasta tomato sauce olive oil,plastic,7
9990009660,pasta,nestlé,corn flakes sugar honey,glass,3
9990006182,soft drink,kelloggs,sugar cocoa milk powder,glass,7
9990001781,rice,danone,milk sugar cocoa butter,plastic,5
9990009940,energy drink,pepsico,sugar cocoa milk powder,glass,9
9990008595,energy drink,nestlé,corn flakes sugar honey,glass,1
9990002879,energy drink,mondelez,milk sugar cocoa butter,paper,7
9990004478,instant noodles,pepsico,carbonated water sugar caffeine,cardboard,9
9990007801,soft drink,unilever,rice water salt,paper,9
9990007319,soft drink,danone,sugar cocoa milk powder,paper,9
3017620422003,nutella,nutella ferrero,sucre huile de palme noisettes 13 cacao maigre 74 lait écrémé en poudre 66 lactoserum en poudre émulsifiants lécithines soja vanilline sans gluten,plasticfrpot en verre,-1
5449000131805,instant noodles,cocacola,carbonated water colour caramel e150d acid phosphoric acid sweeteners aspartame acesulfame k natural flavourings including caffeine acidity regulator sodium citrates contains source phenylalanine,metalrecyclable metalsaluminiumcandrink,-1
7622210449283,soft drink,lumondelez,céréale 507 farine de blé 35 farine de blé complète 157 sucre huiles végétales palme colza cacao maigre en poudre 45 sirop de glucose amidon de ble poudre à lever carbonate acide dammonium carbonate acide de sodium diphosphate disodique émulsifiants lécithine de soja lecithine de tournesol sel lait écrémé en poudre lactose et protéines de lait arômes peut contenir oeuf,packethdpe filmpacketetui en cartonfilm en plastique,-1
5000159484695,twix glacé x6,twix,sucre sirop de glucose lait écrémé crème légère lait eau beurre de cacao matière grasse de noix de coco lait écrémé concentré sucré pâte de cacao farine de blé matière grasse de palme lait écrémé en poudre lactose matière grasse du lait huile de palmiste petitlait en poudre cacao maigre beurre lait émulsifiants lécithine de soja e471 tristéarate de sorbitane lait entier en poudre stabilisants e407 e410 e412 arômes naturels lait sel colorant naturel caramel ordinaire cacao en poudre poudre à lever e503 extrait naturel de vanille peut contenir cacahuète noisette amande produit en france,plastique carton surgelé green dot,6
8410076472744,pasta,mondelez,pasta tomato sauce olive oil,metal,-1
3045140105502,chocolat au lait,milka,sucre beurre de cacao pâte de cacao lait écrémé en poudre lactosérum en poudre lait beurre concentré émulsifiant lécithine de soja pâte de noisette arôme naturel,plastiqueétui,3
7613035713530,cereal,cocacola,milk sugar cocoa butter,glass,-1
8076800195053,chocolate bar,kelloggs,sugar cocoa milk powder,carton,-1
38000547523,instant noodles,nestlé,carbonated water sugar caffeine,glass,-1
8410184000006,energy drink,unilever,sugar cocoa milk powder,biodegradable,-1
3228857000857,energy drink,kelloggs,milk sugar cocoa butter,metal,-1
4311501654005,soft drink,unilever,carbonated water sugar caffeine,carton,-1
5000112548167,cocacola light,cocacola,wasser kohlensäure farbstoff e 150d säuerungsmittel phosphorsäure und citronensäure süßungsmittel natriumcyclamat acesulfam k aspartam aroma aroma koffein,kunststoff pet polyethylenterephtalat einwegpfand,-1
9002490100666,energy drink,mondelez,corn flakes sugar honey,carton,-1
3046920022611,cereal,danone,sugar cocoa milk powder,paper,-1
16000261408,instant noodles,danone,milk sugar cocoa butter,plastic,-1
737628064502,thai peanut noodle kit includes stirfry rice noodles thai peanut seasoning,thai kitchensimply asia,rice noodles rice water seasoning packet peanut sugar salt corn starch spices chili cinnamon pepper cumin clove hydrolyzed soy protein green onions citric acid peanut oil sesame oil natural flavor,container cellophane,-1
5906747313101,chocolate bar,mondelez,carbonated water sugar caffeine,biodegradable,-1
8715700110621,pasta,danone,milk sugar cocoa butter,biodegradable,-1
5000159414029,chocolate bar,pepsico,sugar cocoa milk powder,carton,-1
5449000054228,pasta,cocacola,wheat flour salt oil,carton,-1
5411188116727,rice,kelloggs,rice water salt,paper,-1
7613035303632,pasta,ferrero,corn flakes sugar honey,carton,-1
4008400402845,cereal,pepsico,corn flakes sugar honey,carton,-1
8712566128105,chocolate bar,nestlé,carbonated water sugar caffeine,plastic,-1
7613035712670,chocolate bar,mars,wheat flour salt oil,biodegradable,-1
7622210632687,chocolate bar,kelloggs,wheat flour salt oil,carton,-1
5411188121721,energy drink,mars,sugar cocoa milk powder,cardboard,-1
3017620425035,nutella,ferrero,sucre huile de palme noisettes 13 lait écrémé en poudre 87 cacao maigre 74 émulsifiants lécithines soja vanilline sans gluten,composites multicouchesplastiquecartonverrepp 5 polypropylèneverre transparentcarton non ondulé82 cx82 cpapenbocal,3
75357014297,soft drink,pepsico,carbonated water sugar caffeine,metal,-1
8410076472546,chocolate bar,nestlé,wheat flour salt oil,glass,-1
7622210713781,cereal,nestlé,carbonated water sugar caffeine,biodegradable,-1
5000112548167,cocacola light,cocacola,wasser kohlensäure farbstoff e 150d säuerungsmittel phosphorsäure und citronensäure süßungsmittel natriumcyclamat acesulfam k aspartam aroma aroma koffein,kunststoff pet polyethylenterephtalat einwegpfand,-1
3228857000857,cereal,kelloggs,corn flakes sugar honey,metal,-1
8712566128105,energy drink,unilever,wheat flour salt oil,metal,-1
5411188116727,rice,mondelez,milk sugar cocoa butter,carton,-1
7613035937071,chocolate bar,mondelez,sugar cocoa milk powder,paper,-1
7622210632687,cereal,nestlé,sugar cocoa milk powder,metal,-1
7622210449283,prince goût chocolat,lumondelez,céréale 507 farine de blé 35 farine de blé complète 157 sucre huiles végétales palme colza cacao maigre en poudre 45 sirop de glucose amidon de ble poudre à lever carbonate acide dammonium carbonate acide de sodium diphosphate disodique émulsifiants lécithine de soja lecithine de tournesol sel lait écrémé en poudre lactose et protéines de lait arômes peut contenir oeuf,packethdpe filmpacketetui en cartonfilm en plastique,-1
5449000004216,cereal,kelloggs,sugar cocoa milk powder,glass,-1
3017620425035,nutella,ferrero,sucre huile de palme noisettes 13 lait écrémé en poudre 87 cacao maigre 74 émulsifiants lécithines soja vanilline sans gluten,composites multicouchesplastiquecartonverrepp 5 polypropylèneverre transparentcarton non ondulé82 cx82 cpapenbocal,3
38000547523,pasta,cocacola,corn flakes sugar honey,cardboard,-1
4000521002346,chocolate bar,danone,rice water salt,metal,-1
5449000131805,cocacola zero azúcar,cocacola,carbonated water colour caramel e150d acid phosphoric acid sweeteners aspartame acesulfame k natural flavourings including caffeine acidity regulator sodium citrates contains source phenylalanine,metalrecyclable metalsaluminiumcandrink,-1
8410076472744,cereal,unilever,milk sugar cocoa butter,carton,-1
7613035303632,rice,pepsico,wheat flour salt oil,carton,-1
3228857000857,cereal,mondelez,corn flakes sugar honey,carton,-1
737628064502,chocolate bar,thai kitchensimply asia,rice noodles rice water seasoning packet peanut sugar salt corn starch spices chili cinnamon pepper cumin clove hydrolyzed soy protein green onions citric acid peanut oil sesame oil natural flavor,carton,-1
4008400402845,rice,danone,pasta tomato sauce olive oil,paper,-1
5411188116727,instant noodles,mondelez,carbonated water sugar caffeine,carton,-1
